"game_ID","away_team","home_team","game_times"
"a38240462c8080a30c52808fb70e0f68","Washington Wizards","Orlando Magic","2023-11-29"
"1839dfc79679de0b4a8a6d2e6af6fd2f","Phoenix Suns","Toronto Raptors","2023-11-29"
"1035d1c002bc2bcdc82f8b6b7c91c157","Utah Jazz","Memphis Grizzlies","2023-11-29"
"687826c34b7b3953cec517443b737712","Philadelphia 76ers","New Orleans Pelicans","2023-11-29"
"b895328c768c09b9ae30c88f565ff514","Houston Rockets","Denver Nuggets","2023-11-29"
"1d3ba6ea091c761bca30bee6441878db","LA Clippers","Sacramento Kings","2023-11-29"
"a372b3d64a0ee516da9b64d700073545","Portland Trail Blazers","Cleveland Cavaliers","2023-11-30"
"4791d4906b7ecc84ece75f3d703ae171","Charlotte Hornets","Brooklyn Nets","2023-11-30"
"434a0f3072182051ac752699eea90f8a","Indiana Pacers","Miami Heat","2023-11-30"
"814dc0df61bcb579ba39d0ea8e72077d","Detroit Pistons","New York Knicks","2023-11-30"
"eba9bdfcc17229e38f853e1bb067505c","Milwaukee Bucks","Chicago Bulls","2023-11-30"
"55b8b688692a0c129e123cb13bd5d1ed","Utah Jazz","Minnesota Timberwolves","2023-11-30"
"f07f515626f11cdc6589dd2f8281f016","Los Angeles Lakers","Oklahoma City Thunder","2023-11-30"
"586d3316803e1c91d6feff8161b46506","Atlanta Hawks","San Antonio Spurs","2023-11-30"
"4aeee20954607aea810abd4e8aceda1f","LA Clippers","Golden State Warriors","2023-11-30"
"44bee37cc95cf9b249271ba80ac340b3","Washington Wizards","Orlando Magic","2023-12-01"
"c56e877880939c4374cb63884b6c1788","Philadelphia 76ers","Boston Celtics","2023-12-01"
"c282a28181cf3b73949901b352f72259","New York Knicks","Toronto Raptors","2023-12-01"
"d66e49909a8551effa003c6b86457403","Memphis Grizzlies","Dallas Mavericks","2023-12-01"
